description,category
incentive payment processed cleared this month cleared cleared,salary
training today,education
primme video today this month today,entertainment
Piped gas bill MGNGL done done done,utilities
random office expenses this week cleared,misc
Books from Amazon done today,education
uber cleared this month this month,transport
Parking fee this month done this month today this month,transport
rapido cleared,transport
medicine today,healthcare
maintanence charge done,utilities
paid the team for this month today this month cleared today,salary
pantry supplies done cleared this month today,food
Piped gas bill MGNGL today today,utilities
chai done cleared today,food
bought raw materials from vendor this month today,raw_material
Water bill MCGM today cleared today,utilities
physio session after injury cleared,healthcare
shopping today this month today,shopping
repair today this month done today,misc
tech accessories restocked today,shopping
BEST bus pass cleared today done,transport
materials for the big project this month,raw_material
Figma team plan this month,subscriptions
paid the light bill online,utilities
workshop today cleared this month this month done cleared,education
Project milestone payment today this month today,salary
Medicine purchase cleared done,healthcare
Inventory restock this month this month,raw_material
paid for skill upgrade training cleared done,education
Hotel booking Mumbai cleared,travel
Coursera subscription done today this month cleared cleared,education
course kiya online cleared cleared done,education
boosted posts on social media this month,marketing
Payment from ABC Corp done done done,salary
Flight ticket Bangalore today today cleared today today today done today,travel
charges,misc
khana order kiya today this month done today today,food
paid for skill upgrade training today done,education
Website development payment cleared,salary
Online certification this month,education
Library subscription today today this month done,education
booked a cab for late night return today cleared this month done,transport
paid for the warehouse space this month cleared this month this month,rent
amazon cleared,shopping
tech accessories restocked this month,shopping
dinner this month,food
DMart monthly grocery,food
shoping this month today this month done,shopping
kaam ka paisa mila cleared today today,salary
travel done,travel
bought books for office library today today,education
InDrive cab,transport
Nykaa products this month today done today,shopping
